arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
5,4,3,95,945000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432700877,9947.368421052632
5,4,3,73,950000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r430001217,13013.698630136987
6,2,1,54,750000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r431200046,13888.888888888889
6,3,2,45,675000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432301300,15000.0
6,4,2,92,1420000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432602006,15434.782608695652
6,2,1,30,590000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r430301232,19666.666666666668
5,2,1,54,670000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r431301247,12407.407407407407
6,3,2,72,1450000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432502841,20138.88888888889
6,4,3,73,1000000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432200134,13698.630136986301
6,2,1,35,520000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432400736,14857.142857142857
6,3,1,51,895000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r431200042,17549.019607843136
6,1,0,18,318000,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432300919,17666.666666666668
7,6,4,123,2180000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r432300147,17723.577235772358
7,5,3,115,2100000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r430100340,18260.869565217392
7,2,1,25,370000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r432600592,14800.0
7,2,1,44,995000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r430800936,22613.636363636364
7,5,3,140,2800000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r431301127,20000.0
7,1,1,8,91000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r429901233,11375.0
7,6,4,115,1780000,https://www.pap.fr/annonces/appartement-paris-7e-75007-r432200279,15478.260869565218
